
---------- Begin Simulation Statistics ----------
simSeconds                                   0.116301                       # Number of seconds simulated (Second)
simTicks                                 116301015000                       # Number of ticks simulated (Tick)
finalTick                                116301015000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    468.25                       # Real time elapsed on the host (Second)
hostTickRate                                248373859                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     702328                       # Number of bytes of host memory used (Byte)
simInsts                                     68586790                       # Number of instructions simulated (Count)
simOps                                       68588230                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   146475                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     146478                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        116301016                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.695677                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.589735                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       103383457                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     6697                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       92041917                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  45739                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             34801923                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          19168194                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 601                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           115978422                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.793612                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.406933                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  77380823     66.72%     66.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  15038815     12.97%     79.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   8148632      7.03%     86.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   6528308      5.63%     92.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   4735318      4.08%     96.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   3081497      2.66%     99.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    744521      0.64%     99.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    259033      0.22%     99.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     61475      0.05%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             115978422                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   13659      0.73%      0.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                     75      0.00%      0.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                      13      0.00%      0.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.73% # attempts to use FU when none available (Count)
